Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;5,944.75;1,446.00;-734.00;614.75;-44.00;2,594.25;0.00;1,277.00;-728.00;92.50;0.00;0.00;0.00;1,820.50;-586.50;0.00;-2,486.00;1,486.00;0.00;1,399.25;0.00;0.00;-207.00
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;5,058.50;1,097.00;-524.50;370.00;-360.50;2,861.00;0.00;1,208.00;-790.00;17.00;-10.75;0.00;0.00;1,367.00;-516.50;0.00;-2,709.00;1,217.00;0.00;1,399.50;0.00;433.25;0.00
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;5,818.50;1,412.25;-79.25;358.75;-584.25;2,691.75;0.00;1,277.00;-394.00;178.50;0.00;0.00;0.00;1,349.75;-619.50;0.00;-2,597.00;1,657.00;0.00;1,378.25;0.00;0.00;-210.75
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;6,665.00;1,177.00;0.00;312.50;-623.50;2,434.00;-0.25;1,655.00;-445.00;220.00;0.00;0.00;0.00;1,382.00;-589.50;0.00;-2,279.00;2,045.00;0.00;900.75;0.00;476.00;0.00
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;6,610.00;2,066.50;0.00;265.75;-951.50;2,048.50;-53.50;1,817.00;-525.00;250.25;0.00;0.00;0.00;1,243.00;-477.25;0.00;-2,196.00;1,651.00;0.00;527.75;0.00;943.50;0.00
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;9,304.00;2,385.25;0.00;201.00;-562.50;2,427.50;0.00;1,779.00;-399.00;357.75;0.00;0.00;0.00;1,556.75;-209.50;0.00;-1,601.00;1,804.00;0.00;580.75;0.00;984.00;0.00
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;11,653.00;3,014.00;0.00;167.25;-151.75;2,736.00;0.00;1,559.00;-389.00;430.50;0.00;0.00;0.00;1,974.75;-45.75;0.00;-1,140.00;1,641.00;0.00;1,135.00;0.00;722.00;0.00
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;12,235.25;2,828.75;0.00;163.75;-38.50;2,389.50;-56.00;1,619.00;-322.00;510.50;0.00;0.00;0.00;2,198.75;-31.75;0.00;-876.00;1,885.00;0.00;1,188.75;0.00;775.50;0.00
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;9,775.25;2,292.00;0.00;155.00;-284.50;2,500.25;0.00;1,722.00;-338.00;470.25;0.00;0.00;0.00;1,880.25;-34.50;0.00;-1,241.00;1,773.00;0.00;900.00;0.00;27.25;-46.75
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;9,253.25;2,078.25;0.00;160.25;-568.00;2,543.50;0.00;1,946.00;-278.00;367.50;0.00;0.00;0.00;1,552.75;-51.75;0.00;-1,855.00;2,013.00;0.00;949.50;0.00;395.25;0.00
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;8,810.25;2,391.00;0.00;232.00;-454.00;1,628.75;0.00;2,143.00;-312.00;366.75;0.00;0.00;0.00;1,563.00;-79.25;0.00;-1,886.00;1,877.00;0.00;1,055.00;0.00;285.00;0.00
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;6,699.00;2,328.00;0.00;187.00;-933.50;1,387.00;0.00;2,142.00;-276.00;369.00;0.00;0.00;0.00;1,309.75;-217.50;0.00;-1,984.00;1,695.00;0.00;855.75;0.00;0.00;-163.50
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;6,416.50;1,879.00;0.00;200.00;-715.50;1,800.00;0.00;2,064.00;-552.00;291.50;0.00;0.00;0.00;1,030.75;-163.25;0.00;-2,157.00;1,229.00;0.00;744.75;0.00;765.25;0.00
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;7,291.50;2,777.00;0.00;21.00;-495.50;1,605.00;-0.25;1,912.00;-577.00;512.50;0.00;0.00;0.00;792.00;-217.25;0.00;-1,226.00;1,066.00;0.00;180.00;-0.50;942.50;0.00
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;7,807.00;3,658.25;0.00;224.50;-242.25;173.50;-74.00;1,834.00;-728.00;498.00;0.00;0.00;0.00;879.25;-193.00;180.00;-58.00;911.00;0.00;0.00;-246.25;990.00;0.00
Jan 2, 2023 7:00 PM;Jan 2, 2023 8:00 PM;8,038.50;3,900.50;0.00;284.25;-242.00;165.50;-400.25;1,825.00;-701.00;510.25;0.00;0.00;0.00;1,164.50;-242.75;691.00;0.00;1,221.00;0.00;0.00;-767.25;629.75;0.00
Jan 2, 2023 8:00 PM;Jan 2, 2023 9:00 PM;7,361.25;4,152.00;0.00;211.25;-212.50;353.00;-409.75;1,461.00;-969.00;473.25;0.00;0.00;0.00;1,252.75;-427.00;751.00;0.00;915.00;0.00;0.00;-722.75;533.00;0.00
Jan 2, 2023 9:00 PM;Jan 2, 2023 10:00 PM;7,726.75;4,536.75;0.00;383.75;-30.25;183.50;-369.75;1,340.00;-1,030.00;459.25;0.00;0.00;0.00;1,324.00;-325.25;616.00;0.00;966.00;0.00;6.50;-151.00;0.00;-182.75
Jan 2, 2023 10:00 PM;Jan 2, 2023 11:00 PM;8,514.50;4,297.75;0.00;405.75;-0.50;62.25;-374.00;1,540.00;-948.00;458.75;0.00;0.00;-148.00;1,266.00;-115.50;418.00;-3.00;1,488.00;0.00;454.00;0.00;59.75;-346.75
Jan 2, 2023 11:00 PM;Jan 3, 2023 12:00 AM;9,088.75;3,928.00;0.00;830.75;-25.00;50.75;-403.50;1,312.00;-1,274.00;439.00;0.00;0.00;-548.00;1,420.00;-315.00;811.00;0.00;1,078.00;0.00;1,010.00;0.00;774.75;0.00
Jan 3, 2023 12:00 AM;Jan 3, 2023 1:00 AM;8,001.00;3,819.50;0.00;1,106.00;-1.25;322.00;-352.25;1,031.00;-1,560.00;326.00;0.00;0.00;-617.00;1,602.50;-370.00;519.00;0.00;607.00;-2.00;629.75;0.00;940.75;0.00
Jan 3, 2023 1:00 AM;Jan 3, 2023 2:00 AM;8,741.75;3,997.25;0.00;1,389.75;-6.75;707.50;-349.50;847.00;-1,599.00;307.50;0.00;0.00;-617.00;1,448.50;-422.00;545.00;0.00;373.00;-37.00;1,165.75;0.00;991.75;0.00
Jan 3, 2023 2:00 AM;Jan 3, 2023 3:00 AM;6,074.75;3,335.25;0.00;726.00;0.00;415.00;-348.00;966.00;-1,471.00;167.75;0.00;0.00;-617.00;1,140.25;-363.75;6.00;-330.00;336.00;-47.00;1,289.75;0.00;869.50;0.00
Jan 3, 2023 3:00 AM;Jan 3, 2023 4:00 AM;4,985.50;2,877.75;0.00;568.50;0.00;418.75;-356.25;921.00;-1,365.00;100.00;0.00;0.00;-617.00;1,210.75;-295.50;0.00;-922.00;450.00;0.00;1,377.50;0.00;617.00;0.00
